Account Number,Account Name,ISIN,Trading Currency,Weight
FX11,FinEx Fallen Angels UCITS ETF,US12527GAF00,USD,"1,02%"
FX11,FinEx Fallen Angels UCITS ETF,US12527GAD51,USD,"2,07%"
FX11,FinEx Fallen Angels UCITS ETF,US72650RBB78,USD,"1,03%"
FX11,FinEx Fallen Angels UCITS ETF,US88732JAY47,USD,"3,73%"
FX11,FinEx Fallen Angels UCITS ETF,US703481AB79,USD,"0,60%"
FX11,FinEx Fallen Angels UCITS ETF,US960386AM29,USD,"2,31%"
FX11,FinEx Fallen Angels UCITS ETF,US88731EAJ91,USD,"1,30%"
FX11,FinEx Fallen Angels UCITS ETF,US984121CQ49,USD,"1,11%"
FX11,FinEx Fallen Angels UCITS ETF,US88732JAN81,USD,"1,82%"
FX11,FinEx Fallen Angels UCITS ETF,US26884UAF66,USD,"1,05%"
FX11,FinEx Fallen Angels UCITS ETF,US26884UAD19,USD,"1,05%"
FX11,FinEx Fallen Angels UCITS ETF,US26884LAF67,USD,"1,42%"
FX11,FinEx Fallen Angels UCITS ETF,US26884LAE92,USD,"0,68%"
FX11,FinEx Fallen Angels UCITS ETF,US674599CW33,USD,"1,07%"
FX11,FinEx Fallen Angels UCITS ETF,US345397YG20,USD,"6,96%"
FX11,FinEx Fallen Angels UCITS ETF,US345370CQ17,USD,"1,15%"
FX11,FinEx Fallen Angels UCITS ETF,US345370BY59,USD,"1,62%"
FX11,FinEx Fallen Angels UCITS ETF,US674599DD43,USD,"1,17%"
FX11,FinEx Fallen Angels UCITS ETF,US81180WAN11,USD,"0,69%"
FX11,FinEx Fallen Angels UCITS ETF,US81180WAL54,USD,"1,98%"
FX11,FinEx Fallen Angels UCITS ETF,US674599DK85,USD,"1,39%"
FX11,FinEx Fallen Angels UCITS ETF,US674599CN34,USD,"0,72%"
FX11,FinEx Fallen Angels UCITS ETF,US674599CH65,USD,"1,37%"
FX11,FinEx Fallen Angels UCITS ETF,US674599DF90,USD,"1,50%"
FX11,FinEx Fallen Angels UCITS ETF,US337932AF44,USD,"0,71%"
FX11,FinEx Fallen Angels UCITS ETF,US337932AC13,USD,"1,79%"
FX11,FinEx Fallen Angels UCITS ETF,US337932AH00,USD,"1,84%"
FX11,FinEx Fallen Angels UCITS ETF,US337932AP26,USD,"0,50%"
FX11,FinEx Fallen Angels UCITS ETF,US337932AJ65,USD,"2,26%"
FX11,FinEx Fallen Angels UCITS ETF,US651229AX48,USD,"0,58%"
FX11,FinEx Fallen Angels UCITS ETF,US651229AY21,USD,"0,94%"
FX11,FinEx Fallen Angels UCITS ETF,US960386AN02,USD,"1,09%"
FX11,FinEx Fallen Angels UCITS ETF,US651229AW64,USD,"3,23%"
FX11,FinEx Fallen Angels UCITS ETF,US651229AV81,USD,"0,70%"
FX11,FinEx Fallen Angels UCITS ETF,US03938LBA17,USD,"1,56%"
FX11,FinEx Fallen Angels UCITS ETF,US03938LBC72,USD,"0,73%"
FX11,FinEx Fallen Angels UCITS ETF,US075887BG35,USD,"1,44%"
FX11,FinEx Fallen Angels UCITS ETF,US03938LAP94,USD,"1,83%"
FX11,FinEx Fallen Angels UCITS ETF,US44106MAZ59,USD,"1,37%"
FX11,FinEx Fallen Angels UCITS ETF,US12527GAC78,USD,"0,77%"
FX11,FinEx Fallen Angels UCITS ETF,US14162VAB27,USD,"0,60%"
FX11,FinEx Fallen Angels UCITS ETF,US50077LAB27,USD,"2,24%"
FX11,FinEx Fallen Angels UCITS ETF,US72650RAR30,USD,"0,92%"
FX11,FinEx Fallen Angels UCITS ETF,US50076QAE61,USD,"1,56%"
FX11,FinEx Fallen Angels UCITS ETF,US50077LAD82,USD,"1,43%"
FX11,FinEx Fallen Angels UCITS ETF,US50077LAL09,USD,"1,90%"
FX11,FinEx Fallen Angels UCITS ETF,US72650RBE18,USD,"2,18%"
FX11,FinEx Fallen Angels UCITS ETF,US72650RBL50,USD,"1,13%"
FX11,FinEx Fallen Angels UCITS ETF,US72650RBF82,USD,"2,51%"
FX11,FinEx Fallen Angels UCITS ETF,US343412AF90,USD,"1,16%"
FX11,FinEx Fallen Angels UCITS ETF,US075887BF51,USD,"1,62%"
FX11,FinEx Fallen Angels UCITS ETF,US12508EAD31,USD,"0,59%"
FX11,FinEx Fallen Angels UCITS ETF,US655664AR15,USD,"1,50%"
FX11,FinEx Fallen Angels UCITS ETF,US037411BF15,USD,"1,90%"
FX11,FinEx Fallen Angels UCITS ETF,US037411BE40,USD,"0,82%"
FX11,FinEx Fallen Angels UCITS ETF,US037411BA28,USD,"4,00%"
FX11,FinEx Fallen Angels UCITS ETF,US15135UAM18,USD,"1,62%"
FX11,FinEx Fallen Angels UCITS ETF,US428291AN87,USD,"0,43%"
FX11,FinEx Fallen Angels UCITS ETF,US15135UAR05,USD,"1,03%"
FX11,FinEx Fallen Angels UCITS ETF,US15135UAF66,USD,"2,95%"
FX11,FinEx Fallen Angels UCITS ETF,US98310WAN83,USD,"0,89%"
FX11,FinEx Fallen Angels UCITS ETF,US44106MBB72,USD,"1,26%"
FX11,FinEx Fallen Angels UCITS ETF,US44106MAW29,USD,"0,96%"
FX11,FinEx Fallen Angels UCITS ETF,US949746NL15,USD,"0,73%"
FX11,FinEx Fallen Angels UCITS ETF,US92343EAL65,USD,"1,43%"
FX11,FinEx Fallen Angels UCITS ETF,US92343EAF97,USD,"0,87%"
FX11,FinEx Fallen Angels UCITS ETF,US03938LBB99,USD,"0,36%"
FX11,FinEx Fallen Angels UCITS ETF,US44106MBA99,USD,"0,45%"
