Account Name,ISIN,Security Number,Trading Currency,Weight
FinEx Germany UCITS ETF,DE000A1EWWW0,4031976,EUR,"4,39%"
FinEx Germany UCITS ETF,DE0005785604,4352097,EUR,"1,50%"
FinEx Germany UCITS ETF,DE0008402215,4511809,EUR,"0,72%"
FinEx Germany UCITS ETF,DE0005439004,4598589,EUR,"1,05%"
FinEx Germany UCITS ETF,DE0005552004,4617859,EUR,"4,25%"
FinEx Germany UCITS ETF,DE0006599905,4741844,EUR,"1,58%"
FinEx Germany UCITS ETF,DE0007037129,4768962,EUR,"1,69%"
FinEx Germany UCITS ETF,DE0007164600,4846288,EUR,"9,59%"
FinEx Germany UCITS ETF,DE000ENAG999,4942904,EUR,"1,80%"
FinEx Germany UCITS ETF,DE0006048408,5002465,EUR,"0,68%"
FinEx Germany UCITS ETF,DE000BAY0017,5069211,EUR,"4,56%"
FinEx Germany UCITS ETF,DE0006048432,5076705,EUR,"1,36%"
FinEx Germany UCITS ETF,DE000BASF111,5086577,EUR,"5,17%"
FinEx Germany UCITS ETF,DE0005200000,5107401,EUR,"0,80%"
FinEx Germany UCITS ETF,DE0006047004,5120679,EUR,"0,90%"
FinEx Germany UCITS ETF,DE0005785802,5129074,EUR,"1,10%"
FinEx Germany UCITS ETF,DE0008404005,5231485,EUR,"7,39%"
FinEx Germany UCITS ETF,DE0008430026,5294121,EUR,"2,78%"
FinEx Germany UCITS ETF,DE0007664005,5497102,EUR,"0,65%"
FinEx Germany UCITS ETF,DE0007664039,5497168,EUR,"3,28%"
FinEx Germany UCITS ETF,DE0007100000,5529027,EUR,"5,21%"
FinEx Germany UCITS ETF,DE0007236101,5727973,EUR,"9,10%"
FinEx Germany UCITS ETF,DE0005140008,5750355,EUR,"1,90%"
FinEx Germany UCITS ETF,DE0005190003,5756029,EUR,"2,26%"
FinEx Germany UCITS ETF,DE0005190037,5756030,EUR,"0,34%"
FinEx Germany UCITS ETF,DE0005557508,5842359,EUR,"4,60%"
FinEx Germany UCITS ETF,DE0007165631,5843329,EUR,"1,14%"
FinEx Germany UCITS ETF,DE0006231004,5889505,EUR,"3,18%"
FinEx Germany UCITS ETF,DE0005810055,7021963,EUR,"2,08%"
FinEx Germany UCITS ETF,DE000PAH0038,7101069,EUR,"1,09%"
FinEx Germany UCITS ETF,DE000A0D9PT0,B09DHL9,EUR,"0,91%"
FinEx Germany UCITS ETF,DE000A0HN5C6,B0YZ0Z5,EUR,"1,28%"
FinEx Germany UCITS ETF,DE000SYM9999,B1JB4K8,EUR,"1,11%"
FinEx Germany UCITS ETF,DE000EVNK013,B5ZQ9D3,EUR,"0,46%"
FinEx Germany UCITS ETF,DE000A1J5RX9,B7VG6L8,EUR,"0,15%"
FinEx Germany UCITS ETF,DE000TLX1005,B8F0TD6,EUR,"0,15%"
FinEx Germany UCITS ETF,DE000A1ML7J1,BBJPFY1,EUR,"2,44%"
FinEx Germany UCITS ETF,DE000KBX1006,BD2P9X9,EUR,"0,56%"
FinEx Germany UCITS ETF,DE000SHL1006,BD594Y4,EUR,"1,06%"
FinEx Germany UCITS ETF,DE000ZAL1111,BQV0SV7,EUR,"1,21%"
FinEx Germany UCITS ETF,DE0006062144,BYTBWY9,EUR,"0,87%"
FinEx Germany UCITS ETF,DE000HLAG475,BYZTSW7,EUR,"0,30%"
FinEx Germany UCITS ETF,DE000A2E4K43,BZCNB42,EUR,"1,21%"
FinEx Germany UCITS ETF,US09075V1026,BK6H543,USD,"1,12%"
FinEx Germany UCITS ETF,DE000ENER6Y0,BMTVQK9,EUR,"0,86%"
